b = 178.4139114545757, l = -17.568134999683302, h = -6380316.623729643
b = -179.94369712191624, l = 123.04353305255626, h = -6379806.689333658
b = 168.79645360462672, l = 121.84136667829394, h = -6380734.237860696
b = 179.09979638865917, l = 22.088778303517994, h = -6380776.497076131
b = 161.23487926822938, l = -155.28043911102463, h = -6382672.761686585
b = 100.59332026812406, l = -92.66061221887088, h = -6403896.779994934
b = 174.9919377042459, l = 69.16057325244039, h = -6380926.984720177
b = -172.48140991234882, l = -78.1633408153507, h = -6380572.3878431525
b = -160.4708573495497, l = -1.9072523741285399, h = -6381994.985109029
b = 104.72581643221238, l = 31.604948683388596, h = -6405139.949778291
b = -95.64282876673055, l = 23.201018040735615, h = -6410101.606311907
b = -179.92950169511383, l = 124.32401576923196, h = -6379806.259158213
b = 169.55665101291606, l = 121.34917930041551, h = -6380633.026697083
b = 179.1595181347932, l = 21.292416161949504, h = -6380778.634207613
b = 162.68020234171883, l = -154.83462618323176, h = -6382373.702573245
b = 99.97293211478858, l = -93.27785189897861, h = -6404239.664089905
b = 175.42212592738343, l = 69.6931150510296, h = -6380906.629118487
b = -171.99975993182528, l = -78.77272674604376, h = -6380644.021505159
b = -160.23739101048406, l = -2.3284081355011867, h = -6382030.217919299
b = 104.45678441104086, l = 30.809174456312565, h = -6405323.369541719
b = -94.75884253735683, l = 23.046721432376817, h = -6411698.0770149445
b = -179.91554667065986, l = 125.59991762602466, h = -6379806.458272321
b = 170.2685441636128, l = 120.85758179465357, h = -6380545.200279765
b = 179.21521442289958, l = 20.49786690231045, h = -6380780.837349136
b = 164.01372472724523, l = -154.4042818974809, h = -6382121.253627675
b = 99.38346343498738, l = -93.88177902573817, h = -6404589.614939843
b = 175.82368651656046, l = 70.21556219965697, h = -6380890.227074484
b = -171.5117979550577, l = -79.35879684478212, h = -6380719.410720281
b = -160.00934443149768, l = -2.744833471169139, h = -6382064.59129576
b = 104.20929283179552, l = 30.02319366960219, h = -6405497.499182835
b = -93.9810286513675, l = 22.90281688162975, h = -6413595.1910526715
b = -179.90183583670867, l = 126.87024068915277, h = -6379807.285117736
b = 170.93462537008725, l = 120.36665607018034, h = -6380469.204380526
b = 179.26711775233133, l = 19.705166661900307, h = -6380783.06496962
b = 165.24191576255015, l = -153.98827910873126, h = -6381909.563119251
b = 98.82341337653303, l = -94.47303500490473, h = -6404948.613714531
b = 176.19771932887318, l = 70.72755656981505, h = -6380877.255366959
b = -171.0180186893914, l = -79.92227682444812, h = -6380798.569774182
b = -159.7851190959222, l = -3.1572176868146045, h = -6382098.459809248
b = 103.982336187443, l = 29.24769688898006, h = -6405662.351501361
b = -93.29911913172549, l = 22.770842790903146, h = -6415891.509454523
b = -179.8883744018641, l = 128.1331821744445, h = -6379808.7185080405
b = 171.55711378553463, l = 119.87609326215231, h = -6380403.642609539
b = 179.31554928133733, l = 18.914170945571733, h = -6380785.326312669
b = 166.3721091606016, l = -153.5858837053373, h = -6381733.12780704
b = 98.29139046158133, l = -95.0510305398099, h = -6405318.586543639
b = 176.54548350631546, l = 71.22900599137459, h = -6380867.209355305
b = -170.5194301528741, l = -80.4636669234338, h = -6380881.446859037
b = -159.56583624302544, l = -3.565391440512388, h = -6382131.514673777
b = 103.77444046942692, l = 28.48339438916239, h = -6405818.207170156
b = -92.70367863171289, l = 22.652600323724897, h = -6418726.146015235
b = -179.87516486928493, l = 129.3878023408738, h = -6379810.753154219
b = 172.13848398075922, l = 119.38625398649761, h = -6380347.245402159
b = 179.36074383041088, l = 18.12496381322463, h = -6380787.604447101
b = 167.41156426697944, l = -153.19672979313046, h = -6381587.015732589
b = 97.78583147444377, l = -95.61573459037795, h = -6405701.807808095
b = 176.86810989780045, l = 71.72044264495999, h = -6380859.663615867
b = -170.01661567757492, l = -80.98376026843391, h = -6380968.028965015
b = -159.35222179736263, l = -3.9686576095174773, h = -6382163.560098769
b = 103.58450153560422, l = 27.730516435348015, h = -6405965.1584958965
b = -92.18572584026187, l = 22.55046192567053, h = -6422307.155888482
b = -179.86223688485558, l = 130.63340115556167, h = -6379813.375125557
b = 172.68099172284636, l = 118.89740942339125, h = -6380298.857587889
b = 179.40294920977283, l = 17.337620939690627, h = -6380789.883018385
b = 168.36643616223347, l = -152.8198430090153, h = -6381467.016773581
b = 97.30580842506464, l = -96.16773791915865, h = -6406100.153339432
b = 177.16689671725942, l = 72.20164021542635, h = -6380854.222611069
b = -169.51038676253324, l = -81.48324026716328, h = -6381058.235591514
b = -159.14298680680636, l = -4.366865312311251, h = -6382194.861267768
b = 103.41154474888828, l = 26.988966871440887, h = -6406103.328001875
b = -91.73750245663882, l = 22.465426396692195, h = -6426953.682870487
b = -179.84966575579637, l = 131.86812920710963, h = -6379816.578962883
b = 173.18688084318484, l = 118.40960316254188, h = -6380257.493604212
b = 179.44234672961767, l = 16.552147880204437, h = -6380792.156395511
b = 169.24378579075622, l = -152.45472274378687, h = -6381369.217881886
b = 96.84992251591612, l = -96.70638166492851, h = -6406515.993254725
b = 177.44304671564927, l = 72.67284892994951, h = -6380850.541997429
b = -169.00111023016694, l = -81.96263031138729, h = -6381152.061554127
b = -158.93929044839933, l = -4.759652903783914, h = -6382225.124406977
b = 103.25490818701849, l = 26.259939753730148, h = -6406232.5977342995
b = -91.35166831884655, l = 22.400966821294197, h = -6433194.588330819
b = -179.83746477401982, l = 133.09184191702727, h = -6379820.347231341
b = 173.65851511376775, l = 117.92266295480682, h = -6380222.214156257
b = 179.4792035770047, l = 15.768611604926999, h = -6380794.409263856
b = 170.04952735660507, l = -152.10058929782733, h = -6381290.351555805
b = 96.41684585560661, l = -97.23155625968732, h = -6406951.991203419
b = 177.69769511403015, l = 73.13390415121205, h = -6380848.32516357
b = -168.489649067662, l = -82.42235194949814, h = -6381249.394887192
b = -158.7409131722032, l = -5.147265247726174, h = -6382254.355609523
b = 103.11343548487426, l = 25.543161248311154, h = -6406353.25516787
b = -91.02157134698079, l = 22.359430584856675, h = -6441968.716739752
b = -179.82570512821468, l = 134.30275776837462, h = -6379824.656797072
b = 174.09750379117327, l = 117.43708950760514, h = -6380192.264117321
b = 179.51364932074833, l = 14.987166834285505, h = -6380796.649644953
b = 170.78932869045238, l = -151.7573272834953, h = -6381227.580631249
b = 96.005921076651, l = -97.74378876851586, h = -6407410.249375597
b = 177.93208954688026, l = 73.5851907613239, h = -6380847.289063943
b = -167.97642962029832, l = -82.86303522643853, h = -6381350.158606678
b = -158.5477327656659, l = -5.52893653068965, h = -6382282.557972958
b = 102.98640037403769, l = 24.83905197123955, h = -6406465.3198095625
b = -90.74130308297929, l = 22.34451838011557, h = -6455115.592406093
b = -179.81442503454136, l = 135.49988948443198, h = -6379829.50276448
b = 174.5062572735372, l = 116.95295647810677, h = -6380166.909022766
b = 179.54589485032997, l = 14.20746379954708, h = -6380798.8582304735
b = 171.46873919322113, l = -151.42411776407963, h = -6381178.415040087
b = 95.615923959919, l = -98.24291504286256, h = -6407893.805218184
b = 178.1474130939708, l = 74.02633403446742, h = -6380847.206855972
b = -167.46181016778058, l = -83.28535556572095, h = -6381454.295490574
b = -158.35945156338144, l = -5.904756480376811, h = -6382309.795837908
b = 102.87295021430583, l = 24.14800619768629, h = -6406568.951084066
b = -90.50546127517732, l = 22.361056849228245, h = -6476807.229641954
b = -179.8036813161818, l = 136.68277588475948, h = -6379834.851004641
b = 174.88654777584196, l = 116.47020205075923, h = -6380145.531864159
b = 179.5761120181327, l = 13.429766897475822, h = -6380801.024233632
b = 172.09280775118862, l = -151.10059331571625, h = -6381140.747664784
b = 95.24589765136145, l = -98.72735322330824, h = -6408405.6668386115
b = 178.3447563137617, l = 74.45771680182027, h = -6380847.8623165
b = -166.94642033332545, l = -83.68945618893827, h = -6381561.693556265
b = -158.17692331203452, l = -6.2744144367755945, h = -6382335.807971688
b = 102.77265820388324, l = 23.470265461430383, h = -6406664.062839968
b = -90.30909302247693, l = 22.414492346363435, h = -6518975.104810556
b = -179.79357230171146, l = 137.85100303854009, h = -6379840.695468533
b = 175.24010829640477, l = 115.98903735692589, h = -6380127.589348218
b = 179.60441819848037, l = 12.654029150179753, h = -6380803.1541268965
b = 172.66600137173788, l = -150.7861123087507, h = -6381112.795709644
b = 94.89487585042873, l = -99.19901177168794, h = -6408949.216985417
b = 178.52533141837384, l = 74.87942362779852, h = -6380849.087400801
b = -166.43095228542592, l = -84.07643289208382, h = -6381672.197579698
b = -158.00045153689797, l = -6.636462969361321, h = -6382360.495090438
b = 102.68447662652615, l = 22.806014371264467, h = -6406750.996706211
b = -90.14778660148339, l = 22.510866919741193, h = -6634897.663387895
b = -179.78409305380123, l = 139.00256785395726, h = -6379847.005700326
b = 175.56878338523512, l = 115.50925290368167, h = -6380112.59633543
b = 179.6309818347579, l = 11.880261095538723, h = -6380805.244619546
b = 173.1929260331686, l = -150.4805536647148, h = -6381092.989146434
b = 94.56180072486877, l = -99.65635231032702, h = -6409528.450083509
b = 178.6902056507433, l = 75.29141919988014, h = -6380850.721588639
b = -165.9154185948289, l = -84.44638161341445, h = -6381785.775317206
b = -157.82888789551964, l = -6.992002294371416, h = -6382384.133211276
b = 102.60801655968936, l = 22.15562479996976, h = -6406829.7807212975
b = -90.01753176159814, l = 22.659072820236837, h = -8262157.099315316
b = -179.77533715507906, l = 140.13788412816967, h = -6379853.767551026
b = 175.8738477747066, l = 115.03161688402606, h = -6380100.160154538
b = 179.65593587915998, l = 11.108768163188127, h = -6380807.275085693
b = 173.67733042091734, l = -150.1833268622439, h = -6381080.040755833
b = 94.24622437396586, l = -100.0995091448552, h = -6410146.986406474
b = 178.84053024462148, l = 75.69372091452773, h = -6380852.632961637
b = -165.4000227599881, l = -84.80007362966629, h = -6381902.333088159
b = -157.66254976395237, l = -7.340006204720562, h = -6382406.626380713
b = 102.54249197568531, l = 21.51923613676513, h = -6406900.637312105
b = -89.91467374124545, l = 22.869424862389668, h = -6041690.733492636
b = -179.76733237249803, l = 141.25598522253355, h = -6379860.964223791
b = 176.15719564167597, l = 114.55548766510464, h = -6380089.876959038
b = 179.67936483638908, l = 10.339087314285072, h = -6380809.248623404
b = 174.12263467425032, l = -149.89424031800115, h = -6381072.844284235
b = 93.94701361144668, l = -100.52763255695349, h = -6410810.069023462
b = 178.9773799583105, l = 76.08654528238705, h = -6380854.7070528185
b = -109.20968252429158, l = 6.2324310979796955, h = -6402833.415865914
b = -179.76242893553223, l = 141.99120330541626, h = -6379865.979387286
b = 176.33464186431223, l = 114.23941400044606, h = -6380084.07757008
b = 155.63363137759214, l = 9.827168536661835, h = -6384708.230977344
b = -164.7143714375102, l = -85.24646304631422, h = -6382062.054871681
b = -157.45067470643468, l = -7.790700640957879, h = -6382434.300769527
b = 102.47143354701396, l = 20.69228390153993, h = -6406982.841865156
b = 179.6644170950166, l = 76.4069744246548, h = -6380029.317932224
b = 174.53251005315963, l = -149.61249286511045, h = -6381070.443256749
b = 93.66363486735482, l = -100.94160910449673, h = -6411522.666340854
b = 179.10177253590444, l = 76.4698482210967, h = -6380856.839041917
b = -109.3894651244021, l = 5.792738625008401, h = -6402808.219498173
b = -179.7557528957143, l = 143.0790242590289, h = -6379873.840426221
b = 176.58474582757265, l = 113.7665750908062, h = -6380076.717183736
b = 154.86705520451056, l = 9.06097831776503, h = -6384946.120181797
b = -164.20135080656786, l = -85.56327636510207, h = -6382184.996277958
b = -157.2977625947519, l = -8.119339646248196, h = -6382453.683804406
b = 102.42970394643619, l = 20.088563799346055, h = -6407035.5156844985
b = 179.69311410549483, l = 77.59262843900444, h = -6380043.94217902
b = 174.90962366155787, l = -149.33829655200407, h = -6381072.042757511
b = 93.39531603656135, l = -101.3403832710759, h = -6412290.836350653
b = 179.2147836245511, l = 76.84368100478473, h = -6380858.95670002
b = -109.5700870297378, l = 5.376816224543949, h = -6402781.169930553
b = -179.7499273634225, l = 144.14842879735775, h = -6379882.056847244
b = 176.81670032050206, l = 113.29620921586672, h = -6380070.768281326
b = 154.10421689676136, l = 8.296928745860164, h = -6385188.433034141
b = -163.68962476067136, l = -85.86504905281576, h = -6382310.499685587
b = -157.15108326495707, l = -8.437916568691742, h = -6382471.585863656
b = 102.39718865949192, l = 19.499488388281726, h = -6407080.797116104
b = 179.7191234789563, l = 78.75796353591475, h = -6380058.963744299
b = 175.25694586402685, l = -149.07089794137588, h = -6381076.963417062
b = 93.14130967018716, l = -101.72417413735673, h = -6413121.889746381
b = 179.31739287735155, l = 77.20819500531546, h = -6380860.979517647
b = -163.34948346773496, l = -86.05824668897678, h = -6382395.501011912
b = -157.05561864909595, l = -8.645533814733952, h = -6382482.981652537
b = 102.38069899848152, l = 19.114746371516713, h = -6407106.745842365
b = 179.7351098100923, l = 79.52372107327412, h = -6380069.188052946
b = 175.47330983561102, l = -148.89647767770566, h = -6381081.793019005
b = 92.97973211806098, l = -101.97113199813029, h = -6413714.290901451
b = 179.38053554262092, l = 77.44603799658091, h = -6380862.247042648
b = -109.8719464571964, l = 4.733527665877553, h = -6402732.442307292
b = -179.7421657149514, l = 145.88759741629625, h = -6379896.504939565
b = 177.1662222061148, l = 112.51702098607112, h = -6380063.375763671
b = 152.84522676713425, l = 7.02821600626205, h = -6385600.181452894
b = -162.8405714348224, l = -86.33592525333735, h = -6382524.999491655
b = -156.91870008094352, l = -8.947813079104014, h = -6382498.526443485
b = 102.36274386928893, l = 18.549673297296195, h = -6407139.936843398
b = 179.75731040011522, l = 80.65579480246389, h = -6380084.801058325
b = 175.7764926167797, l = -148.6400329056555, h = -6381090.987441597
b = 92.74834789237929, l = -102.3278473872778, h = -6414667.95500425
b = 179.46804180286375, l = 77.7949878712469, h = -6380863.9904970685
b = -110.05362431914455, l = 4.376261491285503, h = -6402700.964933963
b = -179.73868237617899, l = 146.90509711009284, h = -6379905.578759608
b = 177.35548412008384, l = 112.05235287721351, h = -6380060.152316026
b = 152.09842006716178, l = 6.269611616217016, h = -6385851.16228831
b = -162.33415966449257, l = -86.59953848831474, h = -6382656.6154758325
b = -156.78783829961728, l = -9.239408600255638, h = -6382512.567294504
b = 102.35315306305668, l = 17.998879553924773, h = -6407165.966472955
b = 179.77753837049625, l = 81.76750817757313, h = -6380100.739130018
